prompt,context,tier
List all prime numbers between 34 and 54.,,1
What is 3 plus 7?,,1
"Categorize this support ticket into billing, technical, or account: 'I was billed for two plans when I only signed up for one.'",,2
Organize the following meeting notes into a structured table with columns for topic and decision.,"We discussed the social media regulation rollout, decided to delay it by a month, then moved on to budget review where we approved an extra $20,000 for marketing.",2
Organize the following meeting notes into a structured table with columns for topic and decision.,"We discussed the urban public transit rollout, decided to delay it by a month, then moved on to budget review where we approved an extra $20,000 for marketing.",2
"Classify the sentiment of this review as positive, negative, or neutral: 'Decent value for the price, matches the listing.'",,2
What is the capital of Peru?,,1
"Design a policy response to a company laying off staff right before announcing record profits that balances competing interests, and explain how you would measure whether it succeeded.",,3
Write a short fable about two neighboring towns that solve a water shortage in very different ways.,,3
"Given this employee record, classify their seniority level as junior, mid, or senior: 'Maria Alvarez, age 41, works as a product manager with 8 years of experience.'",,2
What is the capital of Germany?,,1
Convert 2 gallons to liters.,,1
What is 15 plus 16?,,1
"Compare and contrast electric vehicle subsidies and space tourism, weighing long-term feasibility against short-term cost.",,3
"Write a persuasive argument for and against electric vehicle subsidies, then explain which position is stronger and why, considering multiple stakeholders.",,3
"Classify the sentiment of this review as positive, negative, or neutral: 'The delivery was fast and the packaging was perfect.'",,2
"Write a persuasive argument for and against remote work policies, then explain which position is stronger and why, considering multiple stakeholders.",,3
What is this person's job?,Tom Reilly is 29 years old and works as a electrician.,1
"Given this employee record, classify their seniority level as junior, mid, or senior: 'Sana Iqbal, age 35, works as a pediatrician with 8 years of experience.'",,2
Analyze the following data and identify the main trend regarding four-day work weeks.,"Survey data from the last three years shows shifting public opinion on four-day work weeks, with notable regional differences and demographic splits.",2
"Compare and contrast school starting later and self-driving trucks, weighing long-term feasibility against short-term cost.",,3
How old is Marcus?,Marcus Webb is 38 years old and works as a accountant.,1
What does 'resilient' mean? Answer in one sentence.,,1
What is this person's job?,Marcus Webb is 38 years old and works as a accountant.,1
"Compare and contrast urban public transit and electric vehicle subsidies, considering economic impact and public sentiment.",,3
"Classify the sentiment of this review as positive, negative, or neutral: 'Instructions were confusing and the part didn't fit as described.'",,2
"Categorize this support ticket into billing, technical, or account: 'Search results are completely blank no matter what I type.'",,2
List all prime numbers between 37 and 57.,,1
Organize the following meeting notes into a structured table with columns for topic and decision.,"We discussed the electric vehicle subsidies rollout, decided to delay it by a month, then moved on to budget review where we approved an extra $20,000 for marketing.",2
"Classify the urgency of this support ticket as low, medium, or high: 'My card was charged twice for the same order.'",,2
What does 'meticulous' mean? Answer in one sentence.,,1
Organize the following meeting notes into a structured table with columns for topic and decision.,"We discussed the universal basic income rollout, decided to delay it by a month, then moved on to budget review where we approved an extra $20,000 for marketing.",2
"Compare and contrast renewable energy adoption and remote work policies, considering economic impact and public sentiment.",,3
Analyze the following data and identify the main trend regarding open-source software funding.,Public survey responses about open-source software funding have shifted noticeably over the past two years.,2
"Compare and contrast social media regulation and universal basic income, considering economic impact and public sentiment.",,3
